paper_id,priority,category,citation_short,year,dataset,task,model_or_method,transfer_learning_used,explainability_used,metrics_reported,key_findings,strengths,limitations,relevance_to_capstone,status,notes
P01,high,chest_xray_classification,"Wang et al., ChestX-ray8",2017,"ChestX-ray8 / ChestX-ray14","Thoracic disease classification and weakly supervised localization","CNN benchmarks with weak supervision",no,no,"AUC, localization accuracy","Introduced a hospital-scale chest X-ray benchmark and showed that common thoracic diseases can be detected and weakly localized from image-level labels.","Foundational dataset paper; defines the benchmark that motivated later chest X-ray studies.","Labels are text-mined and noisy; early benchmark results leave large room for improvement.","Dataset foundation for the thesis and for Chapter 2 background.",key_paper,"Use in Section 2.1 when introducing public chest X-ray benchmarks."
P02,high,chest_xray_classification,"Rajpurkar et al., CheXNet",2017,"ChestX-ray14","Pneumonia detection","DenseNet121",yes,no,"AUC, F1, operating point comparisons","Demonstrated strong pneumonia detection on chest X-rays using a DenseNet121 model initialized with pretrained weights.","Highly influential chest X-ray paper; directly relevant because it popularized DenseNet121 in this domain.","Focuses on pneumonia rather than a general normal-vs-abnormal task; interpretability is not the main emphasis.","Strong baseline reference for DenseNet121 and transfer learning discussion.",key_paper,"Use in Sections 2.1 and 2.2."
P03,high,backbone_models,"He et al., ResNet",2016,"ImageNet","General image classification","ResNet",no,no,"Top-1 and Top-5 error","Introduced residual learning, enabling successful optimization of very deep convolutional networks.","Foundational architecture paper; explains why ResNet50 is a justified baseline.","Not a medical imaging paper; results come from natural images rather than clinical data.","Provides theoretical and architectural basis for selecting ResNet50.",key_paper,"Use in Section 2.2 as model background."
P04,high,backbone_models,"Huang et al., DenseNet",2017,"ImageNet","General image classification","DenseNet",no,no,"Top-1 and Top-5 error","Proposed dense connectivity for feature reuse and improved gradient flow across deep networks.","Foundational architecture paper; supports why DenseNet121 is effective in image classification.","Not specific to medical imaging and does not address chest X-ray data directly.","Provides theoretical and architectural basis for selecting DenseNet121.",key_paper,"Use in Section 2.2 as model background."
P05,high,transfer_learning,"Tajbakhsh et al., Full Training or Fine Tuning",2016,"Multiple medical imaging datasets","Medical image classification and detection","CNN plus transfer learning",yes,no,"Task-specific accuracy and detection metrics","Showed that transfer learning can be highly effective for medical imaging tasks, especially when labeled data are limited.","Directly supports the core research question comparing scratch training and transfer learning.","Not specific to chest X-rays; results vary by modality and task.","Primary justification for transfer learning experiments in Chapter 3.",key_paper,"Use in Section 2.3."
P06,medium,chest_xray_classification,"Irvin et al., CheXpert",2019,"CheXpert","Chest radiograph classification with uncertainty labels","CNN benchmark models",yes,no,"AUC","Introduced a large chest radiograph dataset with uncertainty-aware label handling and expert comparison.","Important benchmark paper that clarifies dataset design and label uncertainty issues.","Dataset is different from NIH ChestX-ray14, so direct numerical comparisons with the thesis should be cautious.","Useful benchmark context and discussion of uncertainty in chest X-ray labels.",to_read,"Use in Section 2.1 as benchmark context."
P07,high,explainability,"Selvaraju et al., Grad-CAM",2017,"General vision benchmarks","Visual explanation for CNN predictions","Grad-CAM",no,yes,"Qualitative localization and class discrimination","Proposed Grad-CAM as a practical explanation method for highlighting class-relevant image regions.","Main explainability method used in the thesis; easy to transfer into chest X-ray analysis.","Heatmaps provide supportive evidence rather than causal proof of model reasoning.","Core reference for Section 2.4 and later Grad-CAM methodology.",key_paper,"Use in Chapters 2 and 3."
P08,medium,survey,"Litjens et al., Survey on Deep Learning in Medical Image Analysis",2017,"Multiple modalities","Survey","Deep learning survey",mixed,mixed,"Survey synthesis across tasks","Summarized major deep learning applications in medical image analysis and identified common opportunities and challenges.","Strong general background source for medical image analysis and transfer learning context.","Published before many recent chest X-ray benchmark papers; not chest-X-ray-specific.","Useful for Chapter 2 background and positioning.",to_read,"Use in introduction to Chapter 2 and Section 2.3."
P09,medium,chest_xray_classification,"Shin et al., Deep CNN for Computer-Aided Detection",2016,"Multiple radiology datasets including chest X-ray / CT","Classification and detection","CNN architectures plus transfer learning",yes,no,"Classification accuracy and detection performance","Compared CNN architectures and showed the practical value of transfer learning for medical image tasks.","Important early evidence that transfer learning helps in radiology applications.","Not focused on a single chest X-ray benchmark and predates later large-scale datasets.","Historical context for Section 2.3.",to_read,"Use when discussing early medical transfer learning evidence."
P10,medium,healthcare_context,"Ghassemi et al., Opportunities in Machine Learning for Healthcare",2018,"General healthcare","Perspective / overview","Machine learning in healthcare",mixed,mixed,"Conceptual overview rather than benchmark metrics","Discussed broad opportunities and challenges in applying machine learning to healthcare, including deployment and trust concerns.","Useful for framing why performance alone is insufficient in healthcare research.","Not a chest X-ray paper and not centered on specific imaging experiments.","Supports high-level motivation for trustworthy and clinically meaningful AI.",to_consider,"Use selectively in Introduction or Discussion rather than as a core imaging source."
